ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
21,In selection,20 - 25 years,Male,,Mechanical engineering,Five-year degree,[+10],Machining - Heavy Industry,2018,,,,,,,,,,,,,Gfeis,Belluno,Piedmont
112,Hired,26 - 30 years,Male,,Automotive Engineering,master's degree,[+10],Machining - Heavy Industry,2018,,,,,,,,,,,,,Lodrino,Modena,Lazio
129,QM,> 45 years,Male,,Mechanical engineering,Five-year degree,[+10],Aeronautics,2018,,Modena,,,[0-1],,,Five-year degree,,,,,Cafasse,Reggio Calabria,Sicily
27,Imported,31 - 35 years,Male,,Other scientific subjects,Three-year degree,[0],,2018,,,,,,,,,,,,,La Murgetta,Bari,Lombardy
83,Imported,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Sant'Andrea Bagni,Pisa,Piedmont
34,Imported,20 - 25 years,Female,,Mathematics,Three-year degree,[0],,2018,,,,,,,28-30K,,,,30-32 K,,Montecchia Di Crosara,Chieti,Lombardy
71,First contact,20 - 25 years,Male,,industrial engineering,High school graduation,[0],,2018,,,,,,,,,,,,,Meleto,Verona,Piedmont
114,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[1-3],,2018,,,,,,,,,,,,,Solarussa,Savona,Piedmont
25,Imported,26 - 30 years,Male,,Chemist - Pharmaceutical,High school graduation,[3-5],,2018,,,,,,,,,,,,,Frassineto Po,Matera,Veneto
62,First contact,26 - 30 years,Female,,Mechanical engineering,Professional qualification,[0],,2018,2018,,,,,,,,,,,,Semonte,Genova,Piedmont
43,QM,26 - 30 years,Male,,Mathematics,Five-year degree,[7-10],Machining - Heavy Industry,2018,,,,,,,,,,,,,Vespolate,Siena,Friuli Venezia Giulia
124,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Atena Lucana Scalo,Belluno,Piedmont
115,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[1-3],,2018,,,,,,,,,,,,,Madonna Di Tirano,Ancona,Piedmont
113,First contact,20 - 25 years,Male,,Mechanical engineering,master's degree,[0],Aeronautics,2018,,,,,,,26-28K,,,,,,Male',Imperia,Emilia Romagna
56,First contact,20 - 25 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Prunella,Bologna,Lombardy
19,In selection,26 - 30 years,Male,,Mechanical engineering,Five-year degree,[+10],Oil and Gas,2018,,,,,,,,,,,,38-40 K,Vallecchia,Vibo Valentia,Piedmont
98,First contact,36 - 40 years,Female,,Mechanical engineering,Five-year degree,[0-1],Others,2018,,,,,,,,,,,,,Tavernelle,Potenza,Puglia
41,In selection,20 - 25 years,Male,,electronic Engineering,Five-year degree,[1-3],Others,2018,,,,,,,,,,,,,Inarzo,Barletta-Andria-Trani,Emilia Romagna
28,Imported,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[3-5],,2018,,,,,,,,,,,,,Acqualoreto,Napoli,Lombardy
82,Imported,20 - 25 years,Male,,Biomedical Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Vignale,Belluno,Puglia
24,First contact,20 - 25 years,Male,,Other scientific subjects,Five-year degree,[0],,2018,,,,,,,,,,,,,Lucoli,Imperia,Basilicata
132,In selection,20 - 25 years,Male,,Biomedical Engineering,High school graduation,[0],Oil and Gas,2018,,,,,,,,,,,,,Villaganzerla,Livorno,Piedmont
79,First contact,20 - 25 years,Male,,Telecommunications Engineering,Five-year degree,[0],Space,2018,,,,,,,,Five-year degree,,,42-44 K,,Pionca,Siracusa,Piedmont
58,First contact,40 - 45 years,Male,,Mechanical engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Ali' Terme,Vicenza,Piedmont
57,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Gravina In Puglia,Salerno,Puglia
22,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,San Lorenzo A Pagnatico,Lecco,Puglia
99,Imported,> 45 years,Male,,Biomedical Engineering,Three-year degree,[3-5],,2018,,,,,,,,,,,,,Ogliara,Savona,Sicily
46,Imported,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Clanezzo,Ogliastra,Sicily
116,Imported,20 - 25 years,Male,,Mechanical engineering,Five-year degree,[1-3],,2018,,,,,,,,,,,,,Montoro Inferiore,Frosinone,Piedmont
72,Hired,31 - 35 years,Female,,computer engineering,Five-year degree,[+10],Automotive,2018,,,,,,,,,,Milan,,,Carolei,Ravenna,Sardinia
128,Imported,40 - 45 years,Male,,Mechanical engineering,Five-year degree,[5-7],Services and Information Systems,2018,,,,,,,,,,,,,Viarolo,Rimini,Piedmont
86,Imported,26 - 30 years,Male,,electronic Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Tirol,Matera,Lombardy
59,In selection,26 - 30 years,Female,,industrial engineering,Three-year degree,[0],Life sciences,2018,,,,,,,,,,,,,Grignano,Chieti,Emilia Romagna
14,First contact,26 - 30 years,Female,,Mechanical engineering,Five-year degree,[0],Others,2018,,,,,,,24-26K,,,,,,Longuelo,Brindisi,Sicily
78,Imported,26 - 30 years,Female,,Chemist - Pharmaceutical,Three-year degree,[0],Others,2018,,,,,,,,,,,,,Frassignoni,Palermo,Puglia
69,Imported,< 20 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Angellara,Verona,Piedmont
31,In selection,20 - 25 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],Others,2018,2018,,,,,,,,,,,,Verucchio,Asti,Lazio
92,Imported,20 - 25 years,Male,,Engineering for the environment and the territory,master's degree,[5-7],,2018,,,,,,,,,,,,,Maione,Firenze,Abruzzo
125,Imported,20 - 25 years,Male,,Mechanical engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Muravera,Roma,Lombardy
45,In selection,< 20 years,Female,,Other,Five-year degree,[7-10],Others,2018,,,,,,,,,,,,,Marano Veneziano,Udine,Piedmont
126,Imported,40 - 45 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,Five-year degree,,,,,Kardaun/Bozen,Catania,Puglia
96,Imported,26 - 30 years,Male,,industrial engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Polveraia,Agrigento,Puglia
54,Imported,20 - 25 years,Male,,Mechanical engineering,Five-year degree,[0],,2018,,,,,,,,,,,22-24 K,,Gremiasco,Ancona,Piedmont
88,In selection,26 - 30 years,Male,,Energy and Nuclear Engineering,Five-year degree,[0],Others,2018,,,,,,,,,,,,,Francavilla Di Sicilia,Bolzano,Piedmont
118,First contact,26 - 30 years,Male,,,High school graduation,[0],,2018,,,,,,,,,,,,,Chiuppano,Trieste,Puglia
65,First contact,31 - 35 years,Male,,Automation/Mechatronics Engineering,Three-year degree,[7-10],,2018,,,,,,,,,,,32-34 K,,San Biagio In Padule,Prato,Sicily
61,First contact,26 - 30 years,Male,,Management Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,San Pietro Di Scafati,Lodi,Piedmont
74,Imported,< 20 years,Female,Article 18,Biomedical Engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Geraci Siculo,Latina,Campania
18,First contact,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Montaperto,Agrigento,Basilicata
13,Hired,26 - 30 years,Male,,Electrical Engineering,Five-year degree,[3-5],Automotive,2018,,,,,,,,,,,,,Sarginesco,Monza e della Brianza,Lazio
55,In selection,31 - 35 years,Male,,Information Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Moline,Roma,Puglia
95,Imported,26 - 30 years,Male,,computer engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Lonca,Bari,Sicily
42,Imported,20 - 25 years,Female,,Mechanical engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Adrara San Rocco,Arezzo,Puglia
23,Imported,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,High school graduation,[0],,2018,,,,,,,,,,,,,Bidoni',Bologna,Piedmont
84,Imported,< 20 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0],Others,2018,,,,,,,,,,,,,Sissa Trecasali,Mantova,Puglia
49,Imported,26 - 30 years,Male,,Biomedical Engineering,Three-year degree,[0],,2018,,,,Junior Consultant,,,,,,,,,Roncone,Ravenna,Lombardy
123,Hired,40 - 45 years,Male,,Management Engineering,Five-year degree,[0],Aeronautics,2018,,,,,,,,,,,,,Rondissone,Pisa,Piedmont
94,First contact,31 - 35 years,Male,,Mechanical engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Viggianello,Isernia,Piedmont
36,In selection,31 - 35 years,Female,,Automotive Engineering,Three-year degree,[0],Machining - Heavy Industry,2018,,,,,,,,,,,,,Salerano Canavese,Avellino,Tuscany
29,In selection,> 45 years,Male,,Automotive Engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Stazzema,Belluno,Piedmont
32,In selection,26 - 30 years,Female,,electronic Engineering,Five-year degree,[0],Automotive,2018,,,,,,,,,,,,,Ricco',Crotone,Veneto
117,First contact,26 - 30 years,Male,,industrial engineering,Five-year degree,[0-1],,2018,,Modena,,,,,,,,,,,Ripalvella,Lecce,Sicily
17,Imported,31 - 35 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Aradeo,Nuoro,Lombardy
121,Imported,26 - 30 years,Male,,Other,Three-year degree,[0],,2018,,,,,,,,,,,+ 50 K,,Pianche,Ravenna,Tuscany
68,In selection,31 - 35 years,Male,,chemical engineering,Five-year degree,[0-1],,2018,,,,,,,,,,,,,Visciano,Gorizia,Sicily
35,In selection,26 - 30 years,Female,,electronic Engineering,Five-year degree,[0],,2018,2018,,,,,,,,,,,,Termini Imerese,Grosseto,Puglia
127,First contact,> 45 years,Male,,Informatics,Three-year degree,[+10],,2018,,Milan,Engineering,,,,,,,,,,Ausonia,Pistoia,Piedmont
97,Imported,20 - 25 years,Male,,chemical engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Vidardo,Trieste,Piedmont
48,Imported,< 20 years,Male,,computer engineering,Five-year degree,[0],Others,2018,,,,,,,,,,,,,Marettimo,Ravenna,Marche
87,Imported,26 - 30 years,Female,,Economic - Statistics,Three-year degree,[0],Others,2018,,,,,,,,,,,,,Malles Venosta,Modena,Lazio
73,Imported,26 - 30 years,Male,,computer engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Mondonuovo,Milano,Piedmont
93,Imported,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Lago Di Vico,Vercelli,Puglia
119,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Sacca Fisola,Nuoro,Puglia
77,First contact,20 - 25 years,Male,,Mechanical engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Montiglio Monferrato,Matera,Puglia
53,Imported,26 - 30 years,Male,,Other,Five-year degree,[+10],Others,2018,,,,,,,,,,,,,Camerana,Messina,Basilicata
122,Imported,26 - 30 years,Male,,industrial engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,San Giovanni A Teduccio,Oristano,Lazio
91,First contact,26 - 30 years,Male,,chemical engineering,Five-year degree,[0],Others,2018,,,,,,,,,,,,,Villaggio Garbagnate,Vercelli,Piedmont
47,Imported,20 - 25 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Pescosolido,Aosta,Abruzzo
85,First contact,26 - 30 years,Male,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Vignate,Pistoia,(OVERSEAS)
67,Imported,26 - 30 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Scandolara,Enna,Piedmont
75,Imported,< 20 years,Male,,Mechanical engineering,Three-year degree,[0],Others,2018,,,,,,,,,,,,28-30 K,Scicli,Perugia,Lazio
111,First contact,20 - 25 years,Female,,computer engineering,Five-year degree,[0],,2018,,,,,,,,,,,,,Rocca Tunda,Caltanissetta,Basilicata
33,In selection,26 - 30 years,Male,,Other scientific subjects,Three-year degree,[3-5],Space,2018,,,,,,,,,,,48-50 K,,Morrone Del Sannio,Varese,Lazio
64,Imported,20 - 25 years,Male,,Automotive Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Sesto Campano,Ascoli Piceno,Piedmont
12,Imported,26 - 30 years,Male,,Automation/Mechatronics Engineering,Three-year degree,[0],,2018,,,,,,,,,,,,,Sant'Agapito Scalo,Ravenna,Piedmont
